time,open,high,low,close,tick_volume,spread,real_volume
2023-07-13 16:55:00+00:00,120665.0,120665.0,120565.0,120590.0,27061,5,100798
2023-07-13 17:00:00+00:00,120590.0,120640.0,120545.0,120605.0,28139,5,103046
2023-07-13 17:05:00+00:00,120605.0,120630.0,120530.0,120585.0,18745,5,70798
2023-07-13 17:10:00+00:00,120580.0,120625.0,120535.0,120625.0,15732,5,54624
2023-07-13 17:15:00+00:00,120625.0,120735.0,120615.0,120705.0,27866,5,94780
2023-07-13 17:20:00+00:00,120710.0,120710.0,120655.0,120670.0,13086,5,46684
2023-07-13 17:25:00+00:00,120675.0,120755.0,120670.0,120740.0,16505,5,54969
2023-07-13 17:30:00+00:00,120740.0,120755.0,120615.0,120655.0,24183,5,77940
2023-07-13 17:35:00+00:00,120655.0,120705.0,120630.0,120675.0,14972,5,50484
2023-07-13 17:40:00+00:00,120675.0,120735.0,120660.0,120710.0,14402,5,48764
2023-07-13 17:45:00+00:00,120710.0,120765.0,120690.0,120740.0,14263,5,46020
2023-07-13 17:50:00+00:00,120745.0,120745.0,120470.0,120470.0,8984,5,40783
2023-07-14 09:00:00+00:00,120730.0,120965.0,120610.0,120840.0,128095,5,258180
2023-07-14 09:05:00+00:00,120840.0,120845.0,120620.0,120635.0,64683,5,167934
2023-07-14 09:10:00+00:00,120630.0,120750.0,120630.0,120700.0,38284,5,102191
2023-07-14 09:15:00+00:00,120705.0,120725.0,120570.0,120710.0,54625,5,151852
2023-07-14 09:20:00+00:00,120710.0,120780.0,120630.0,120640.0,48557,5,130936
2023-07-14 09:25:00+00:00,120640.0,120740.0,120610.0,120645.0,36404,5,96442
2023-07-14 09:30:00+00:00,120650.0,120665.0,120500.0,120510.0,65664,5,180526
2023-07-14 09:35:00+00:00,120510.0,120510.0,120380.0,120400.0,63427,5,195147
2023-07-14 09:40:00+00:00,120395.0,120470.0,120385.0,120395.0,33458,5,99930
2023-07-14 09:45:00+00:00,120390.0,120430.0,120345.0,120405.0,39992,5,109949
2023-07-14 09:50:00+00:00,120405.0,120450.0,120355.0,120375.0,30328,5,90686
2023-07-14 09:55:00+00:00,120375.0,120440.0,120365.0,120380.0,21508,5,65090
2023-07-14 10:00:00+00:00,120380.0,120555.0,120310.0,120485.0,99869,5,286414
2023-07-14 10:05:00+00:00,120490.0,120520.0,120140.0,120190.0,113838,5,338405
2023-07-14 10:10:00+00:00,120195.0,120385.0,120140.0,120255.0,88595,5,269179
2023-07-14 10:15:00+00:00,120250.0,120310.0,120070.0,120135.0,98379,5,306794
2023-07-14 10:20:00+00:00,120135.0,120145.0,119920.0,119950.0,83376,5,274073
2023-07-14 10:25:00+00:00,119955.0,120025.0,119805.0,119980.0,88369,5,285068
2023-07-14 10:30:00+00:00,119980.0,120020.0,119770.0,119930.0,90356,5,283360
2023-07-14 10:35:00+00:00,119930.0,119985.0,119685.0,119770.0,86147,5,267723
2023-07-14 10:40:00+00:00,119775.0,119795.0,119625.0,119625.0,63794,5,209775
2023-07-14 10:45:00+00:00,119625.0,119845.0,119615.0,119795.0,59472,5,197851
2023-07-14 10:50:00+00:00,119795.0,120000.0,119745.0,119920.0,65185,5,218335
2023-07-14 10:55:00+00:00,119920.0,120060.0,119910.0,120040.0,51515,5,160927
2023-07-14 11:00:00+00:00,120035.0,120095.0,119805.0,119985.0,101415,5,302593
2023-07-14 11:05:00+00:00,119985.0,120320.0,119955.0,120215.0,85614,5,274477
2023-07-14 11:10:00+00:00,120215.0,120225.0,120020.0,120085.0,53681,5,160738
2023-07-14 11:15:00+00:00,120080.0,120105.0,119930.0,119955.0,49085,5,150677
2023-07-14 11:20:00+00:00,119955.0,120040.0,119910.0,119950.0,46008,5,141301
2023-07-14 11:25:00+00:00,119950.0,120030.0,119835.0,119865.0,51964,5,165342
2023-07-14 11:30:00+00:00,119865.0,120015.0,119860.0,119915.0,40647,5,135602
2023-07-14 11:35:00+00:00,119920.0,119935.0,119640.0,119690.0,79969,5,264157
2023-07-14 11:40:00+00:00,119690.0,119770.0,119655.0,119725.0,38466,5,125397
2023-07-14 11:45:00+00:00,119725.0,119735.0,119285.0,119365.0,92011,5,315068
2023-07-14 11:50:00+00:00,119365.0,119625.0,119355.0,119570.0,62877,5,225821
2023-07-14 11:55:00+00:00,119570.0,119680.0,119460.0,119660.0,45344,5,148832
2023-07-14 12:00:00+00:00,119660.0,119755.0,119625.0,119665.0,35613,5,117095
2023-07-14 12:05:00+00:00,119670.0,119790.0,119590.0,119750.0,46812,5,151792
2023-07-14 12:10:00+00:00,119750.0,119865.0,119730.0,119805.0,31704,5,102524
2023-07-14 12:15:00+00:00,119800.0,119895.0,119760.0,119855.0,32241,5,106200
2023-07-14 12:20:00+00:00,119855.0,119870.0,119750.0,119760.0,31734,5,98659
2023-07-14 12:25:00+00:00,119760.0,119800.0,119680.0,119765.0,29287,5,95399
2023-07-14 12:30:00+00:00,119765.0,119810.0,119710.0,119795.0,20683,5,67817
2023-07-14 12:35:00+00:00,119800.0,119820.0,119735.0,119740.0,14704,5,45859
2023-07-14 12:40:00+00:00,119740.0,119760.0,119685.0,119710.0,19088,5,61909
2023-07-14 12:45:00+00:00,119705.0,119750.0,119665.0,119730.0,17101,5,53412
2023-07-14 12:50:00+00:00,119730.0,119765.0,119650.0,119755.0,20191,5,63978
2023-07-14 12:55:00+00:00,119750.0,119775.0,119695.0,119710.0,14523,5,44158
2023-07-14 13:00:00+00:00,119710.0,119715.0,119655.0,119710.0,16448,5,51688
2023-07-14 13:05:00+00:00,119715.0,119720.0,119615.0,119650.0,21585,5,69589
2023-07-14 13:10:00+00:00,119655.0,119685.0,119565.0,119620.0,30036,5,102325
2023-07-14 13:15:00+00:00,119620.0,119625.0,119175.0,119190.0,73085,5,258963
2023-07-14 13:20:00+00:00,119185.0,119375.0,119145.0,119315.0,67922,5,230169
2023-07-14 13:25:00+00:00,119315.0,119335.0,119195.0,119225.0,36154,5,121708
2023-07-14 13:30:00+00:00,119225.0,119330.0,119195.0,119300.0,28186,5,88253
2023-07-14 13:35:00+00:00,119305.0,119310.0,119115.0,119200.0,46951,5,163022
2023-07-14 13:40:00+00:00,119205.0,119310.0,119190.0,119265.0,26134,5,86363
2023-07-14 13:45:00+00:00,119265.0,119310.0,119180.0,119295.0,28154,5,93997
2023-07-14 13:50:00+00:00,119295.0,119435.0,119285.0,119420.0,37992,5,133526
2023-07-14 13:55:00+00:00,119420.0,119430.0,119270.0,119320.0,31444,5,109338
2023-07-14 14:00:00+00:00,119320.0,119345.0,119220.0,119340.0,26872,5,87087
2023-07-14 14:05:00+00:00,119335.0,119360.0,119230.0,119260.0,18606,5,61225
2023-07-14 14:10:00+00:00,119255.0,119310.0,119230.0,119300.0,16672,5,58326
2023-07-14 14:15:00+00:00,119295.0,119345.0,119225.0,119230.0,22967,5,75368
2023-07-14 14:20:00+00:00,119230.0,119310.0,119155.0,119275.0,36305,5,124681
2023-07-14 14:25:00+00:00,119275.0,119500.0,119260.0,119410.0,49632,5,175996
2023-07-14 14:30:00+00:00,119410.0,119470.0,119300.0,119325.0,35209,5,117051
2023-07-14 14:35:00+00:00,119330.0,119405.0,119280.0,119360.0,23685,5,76732
2023-07-14 14:40:00+00:00,119355.0,119380.0,119315.0,119315.0,13176,5,41421
2023-07-14 14:45:00+00:00,119320.0,119330.0,119255.0,119305.0,20812,5,65009
2023-07-14 14:50:00+00:00,119305.0,119310.0,119185.0,119195.0,29162,5,94602
2023-07-14 14:55:00+00:00,119190.0,119290.0,119050.0,119075.0,53039,5,180937
2023-07-14 15:00:00+00:00,119070.0,119185.0,119050.0,119085.0,36709,5,118510
2023-07-14 15:05:00+00:00,119085.0,119120.0,119020.0,119060.0,35715,5,118191
2023-07-14 15:10:00+00:00,119055.0,119065.0,118900.0,118910.0,51379,5,184105
2023-07-14 15:15:00+00:00,118910.0,118935.0,118835.0,118915.0,41987,5,145988
2023-07-14 15:20:00+00:00,118920.0,119000.0,118855.0,119000.0,40683,5,134235
2023-07-14 15:25:00+00:00,119000.0,119100.0,118910.0,118985.0,40553,5,136024
2023-07-14 15:30:00+00:00,118985.0,119040.0,118870.0,118875.0,35139,5,116643
2023-07-14 15:35:00+00:00,118875.0,118970.0,118825.0,118950.0,35472,5,123948
2023-07-14 15:40:00+00:00,118955.0,119010.0,118920.0,118965.0,22505,5,74852
2023-07-14 15:45:00+00:00,118960.0,119045.0,118940.0,119035.0,19931,5,64846
2023-07-14 15:50:00+00:00,119030.0,119065.0,118985.0,119000.0,18887,5,60669
2023-07-14 15:55:00+00:00,119005.0,119005.0,118875.0,118905.0,29492,5,98043
2023-07-14 16:00:00+00:00,118910.0,118910.0,118800.0,118840.0,32084,5,111321
2023-07-14 16:05:00+00:00,118840.0,118935.0,118835.0,118905.0,24093,5,79664
2023-07-14 16:10:00+00:00,118905.0,119000.0,118850.0,118955.0,27268,5,90820
2023-07-14 16:15:00+00:00,118955.0,119035.0,118925.0,118950.0,27255,5,97780
2023-07-14 16:20:00+00:00,118950.0,118985.0,118855.0,118860.0,30288,5,107355
2023-07-14 16:25:00+00:00,118860.0,118930.0,118830.0,118920.0,24283,5,79328
2023-07-14 16:30:00+00:00,118915.0,119100.0,118915.0,119020.0,39456,5,137141
2023-07-14 16:35:00+00:00,119020.0,119045.0,118950.0,119035.0,23215,5,80562
2023-07-14 16:40:00+00:00,119035.0,119090.0,119000.0,119010.0,21445,5,74943
2023-07-14 16:45:00+00:00,119010.0,119060.0,118925.0,118950.0,25096,5,89663
2023-07-14 16:50:00+00:00,118950.0,119095.0,118925.0,119060.0,27276,5,94215
2023-07-14 16:55:00+00:00,119060.0,119155.0,118955.0,119015.0,36357,5,121984
2023-07-14 17:00:00+00:00,119015.0,119050.0,118950.0,119050.0,22638,5,84049
2023-07-14 17:05:00+00:00,119050.0,119055.0,118810.0,118825.0,32031,5,117865
2023-07-14 17:10:00+00:00,118820.0,118910.0,118760.0,118860.0,27208,5,95577
2023-07-14 17:15:00+00:00,118860.0,118925.0,118820.0,118900.0,16769,5,58153
2023-07-14 17:20:00+00:00,118905.0,118995.0,118900.0,118955.0,15750,5,51769
2023-07-14 17:25:00+00:00,118960.0,118970.0,118910.0,118925.0,10324,5,29814
2023-07-14 17:30:00+00:00,118930.0,118995.0,118925.0,118960.0,12237,5,39500
2023-07-14 17:35:00+00:00,118965.0,119040.0,118900.0,119000.0,16803,5,57609
2023-07-14 17:40:00+00:00,119000.0,119020.0,118965.0,118990.0,11180,5,37707
2023-07-14 17:45:00+00:00,118990.0,119000.0,118865.0,118885.0,14827,5,47506
2023-07-14 17:50:00+00:00,118880.0,119005.0,118870.0,118960.0,10612,5,40589
2023-07-17 09:00:00+00:00,118700.0,118845.0,118415.0,118635.0,94653,5,217030
2023-07-17 09:05:00+00:00,118635.0,118850.0,118580.0,118820.0,58590,5,143236
2023-07-17 09:10:00+00:00,118815.0,118830.0,118710.0,118815.0,35144,5,92145
2023-07-17 09:15:00+00:00,118815.0,118885.0,118725.0,118785.0,41745,5,110514
